Warm-up Type,Component,Details,Duration/Sets/Reps,Intensity/Notes,,,
Break-In Phase,3-4,"Monday, Wednesday, Friday",Dumbbell stiff-leg deadlift,4,10-15,2 min,Sets 1-2: RTF 3; Sets 3-4: RTF 2
Break-In Phase,5-7,"Monday, Wednesday, Friday",Dumbbell chest press,4,10-15,2 min,Set 1: RTF 3; Set 2: RTF 2; Set 3: RTF 1; Set 4: RTF 0
Break-In Phase,5-7,"Monday, Wednesday, Friday",Dumbbell single-arm row,4,10-15,2 min,Set 1: RTF 3; Set 2: RTF 2; Set 3: RTF 1; Set 4: RTF 0
Break-In Phase,5-7,"Monday, Wednesday, Friday",Military press,4,10-15,2 min,Set 1: RTF 3; Set 2: RTF 2; Set 3: RTF 1; Set 4: RTF 0
Break-In Phase,5-7,"Monday, Wednesday, Friday",Barbell back squat,4,10-15,2 min,Set 1: RTF 3; Set 2: RTF 2; Set 3: RTF 1; Set 4: RTF 0
Break-In Phase,5-7,"Monday, Wednesday, Friday",Dumbbell lunge,4,10-15,2 min,Set 1: RTF 3; Set 2: RTF 2; Set 3: RTF 1; Set 4: RTF 0
Break-In Phase,5-7,"Monday, Wednesday, Friday",Dumbbell stiff-leg deadlift,4,10-15,2 min,Set 1: RTF 3; Set 2: RTF 2; Set 3: RTF 1; Set 4: RTF 0
Break-In Phase,8,"Monday, Thursday",Dumbbell chest press,2,15-20,2 min,RTF 4
Break-In Phase,8,"Monday, Thursday",Dumbbell single-arm row,2,15-20,2 min,RTF 4
Break-In Phase,8,"Monday, Thursday",Military press,2,15-20,2 min,RTF 4
Break-In Phase,8,"Monday, Thursday",Barbell back squat,2,15-20,2 min,RTF 4
Break-In Phase,8,"Monday, Thursday",Dumbbell lunge,2,15-20,2 min,RTF 4
Break-In Phase,8,"Monday, Thursday",Dumbbell stiff-leg deadlift,2,15-20,2 min,RTF 4
,,,,,,,
,,,,,,,
Basic Training Phase,Section,Training variable,Protocol,,,,
Basic Training Phase,Summary,Sets,2-5 per exercise,,,,
Basic Training Phase,Summary,Repetitions,3-25,,,,
Basic Training Phase,Summary,Rest interval,30 sec to 3 min,,,,
Basic Training Phase,Summary,Frequency,3 days a week,,,,
Basic Training Phase,Summary,Intensity of Effort,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0,,,,
,,,,,,,
Basic Training Phase,Week,Day,Exercise,Sets,Repetitions,Rest interval,Intensity of Effort
Basic Training Phase,1,Monday (heavy),Dumbbell chest press,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Monday (heavy),Dumbbell single-arm row,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Monday (heavy),Military press,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Monday (heavy),Barbell back squat,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Monday (heavy),Barbell hip thrust,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Monday (heavy),Barbell stiff-leg deadlift,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Barbell incline press,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Neutral-grip lat pull-down,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Cable upright row,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Dumbbell incline biceps curl,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Cable rope overhead triceps extension,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Leg press,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Machine seated leg curl,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Dumbbell standing calf raise,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Cable kneeling rope crunch,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Low cable fly,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Cable seated row,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Machine lateral raise,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Dumbbell hammer curl,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Cable triceps kickback,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Leg extension,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Cable glute back kick,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Machine seated calf raise,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Reverse crunch,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Monday (heavy),Dumbbell chest press,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Monday (heavy),Dumbbell single-arm row,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Monday (heavy),Military press,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Monday (heavy),Barbell back squat,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Monday (heavy),Barbell hip thrust,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Monday (heavy),Barbell stiff-leg deadlift,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Barbell incline press,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Neutral-grip lat pull-down,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Cable upright row,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Dumbbell incline biceps curl,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Cable rope overhead triceps extension,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Leg press,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Machine seated leg curl,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Dumbbell standing calf raise,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Cable kneeling rope crunch,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Low cable fly,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Cable seated row,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Machine lateral raise,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Dumbbell hammer curl,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Cable triceps kickback,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Leg extension,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Cable glute back kick,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Machine seated calf raise,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Reverse crunch,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Monday (heavy),Dumbbell chest press,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Monday (heavy),Dumbbell single-arm row,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Monday (heavy),Military press,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Monday (heavy),Barbell back squat,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Monday (heavy),Barbell hip thrust,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Monday (heavy),Barbell stiff-leg deadlift,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Barbell incline press,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Neutral-grip lat pull-down,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Cable upright row,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Dumbbell incline biceps curl,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Cable rope overhead triceps extension,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Leg press,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Machine seated leg curl,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Dumbbell standing calf raise,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Cable kneeling rope crunch,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Friday (light),Low cable fly,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Friday (light),Cable seated row,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Friday (light),Machine lateral raise,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Friday (light),Dumbbell hammer curl,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Friday (light),Cable triceps kickback,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Friday (light),Leg extension,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Friday (light),Cable glute back kick,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Friday (light),Machine seated calf raise,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Friday (light),Reverse crunch,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,4,"Monday, Thursday",Dumbbell chest press,2,15-20,2 min,RTF 3
Basic Training Phase,4,"Monday, Thursday",Dumbbell single-arm row,2,15-20,2 min,RTF 3
Basic Training Phase,4,"Monday, Thursday",Military press,2,15-20,2 min,RTF 3
Basic Training Phase,4,"Monday, Thursday",Barbell back squat,2,15-20,2 min,RTF 3
Basic Training Phase,4,"Monday, Thursday",Dumbbell lunge,2,15-20,2 min,RTF 3
Basic Training Phase,4,"Monday, Thursday",Dumbbell stiff-leg deadlift,2,15-20,2 min,RTF 3
Basic Training Phase,1,Monday (heavy),Dumbbell chest press,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Monday (heavy),Dumbbell single-arm row,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Monday (heavy),Military press,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Monday (heavy),Barbell back squat,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Monday (heavy),Barbell hip thrust,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Monday (heavy),Barbell stiff-leg deadlift,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Barbell incline press,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Neutral-grip lat pull-down,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Cable upright row,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Dumbbell incline biceps curl,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Cable rope overhead triceps extension,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Leg press,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Machine seated leg curl,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Dumbbell standing calf raise,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Wednesday (moderate),Cable kneeling rope crunch,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Low cable fly,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Cable seated row,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Machine lateral raise,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Dumbbell hammer curl,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Cable triceps kickback,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Leg extension,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Cable glute back kick,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Machine seated calf raise,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,1,Friday (light),Reverse crunch,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Monday (heavy),Dumbbell chest press,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Monday (heavy),Dumbbell single-arm row,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Monday (heavy),Military press,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Monday (heavy),Barbell back squat,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Monday (heavy),Barbell hip thrust,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Monday (heavy),Barbell stiff-leg deadlift,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Barbell incline press,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Neutral-grip lat pull-down,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Cable upright row,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Dumbbell incline biceps curl,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Cable rope overhead triceps extension,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Leg press,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Machine seated leg curl,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Dumbbell standing calf raise,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Wednesday (moderate),Cable kneeling rope crunch,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Low cable fly,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Cable seated row,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Machine lateral raise,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Dumbbell hammer curl,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Cable triceps kickback,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Leg extension,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Cable glute back kick,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Machine seated calf raise,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,2,Friday (light),Reverse crunch,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Monday (heavy),Dumbbell chest press,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Monday (heavy),Dumbbell single-arm row,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Monday (heavy),Military press,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Monday (heavy),Barbell back squat,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Monday (heavy),Barbell hip thrust,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Monday (heavy),Barbell stiff-leg deadlift,4 or 5,3-5,2-3 min,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Barbell incline press,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Neutral-grip lat pull-down,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Cable upright row,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Dumbbell incline biceps curl,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Cable rope overhead triceps extension,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Leg press,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Machine seated leg curl,3 or 4,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Dumbbell standing calf raise,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Wednesday (moderate),Cable kneeling rope crunch,2 or 3,8-12,90-120 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Friday (light),Low cable fly,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Friday (light),Cable seated row,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Friday (light),Machine lateral raise,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
Basic Training Phase,3,Friday (light),Dumbbell hammer curl,2 or 3,15-25,30-60 sec,Set 1: RTF 2; Set 2: RTF 1; Set 3: RTF 0
