Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Superset,Exercise Name,Exercise Note,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Youtube Video Links,Advanced Exercise Sets
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Tuesday - Triceps,Tuesday,,,Pushdowns,"Supramax pump, Go to failure on each set.",3,,"12, 12, 12",12,12,,,,,10,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Tuesday - Triceps,Tuesday,,,Reverse grip pushdown,"Supramax pump, Go to failure on each set.",3,,"12, 12, 12",12,12,,,,,10,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Tuesday - Triceps,Tuesday,,,Decline lying extension,"Train muscle with stretch emphasis, Nice and slow, focus on the stretch.",3,,"10, 10, 10",10,10,,,,,10,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Tuesday - Abs,Tuesday,,,Rope crunch,"Stretch and pump, Stretch abdominal wall at the top of each rep.",4,,"to failure, to failure, to failure, to failure",,,,,,,9,,,https://www.youtube.com/watch?v=ZHSef-SDrH4&index=3&list=PL512BBB0C927A91DC,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Tuesday - Calves,Tuesday,,,Seated calve raises,"Supramax pump, Sit in the stretch position for 1 second on each rep, slow and painful.",4,,"15, 15, 15, 15",15,15,,,,,10,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Wednesday - Shoulders,Wednesday,,,Reverse peck deck,"Activation and pump, 60 second breaks between sets.",3,,"30, 30, 30",30,30,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Wednesday - Shoulders,Wednesday,,,Seated side laterals,"Supramax pump, Ultra-strict, up to ear level, 10th rep should be hard.",4,,"10, 10, 10, 10",10,10,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Wednesday - Shoulders,Wednesday,,,Spidercrawls,"Supramax pump, Up above head, down to waistline, 3 times for 1 set.",3,,"3 times up/down, 3 times up/down, 3 times up/down",,,,,,,9,,,https://www.youtube.com/watch?v=LOd1lSnTCFg&list=PL2F8A4BD406176C34&index=22,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Wednesday - Abs,Wednesday,,,Decline leg raises,"Activation and pump, Come close to failure, leave a few reps in the tank.",6,,"10-20, 10-20, 10-20, 10-20, 10-20, 10-20",10,20,,,,,8,,,https://www.youtube.com/watch?v=JwQGUD1wxDg&list=PL512BBB0C927A91DC&index=10,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Wednesday - Calves,Wednesday,,,Standing raises,"Supramax pump, 10 full reps, then 10 partials out of a deep stretch.",6,,"10 full, 10 partials, 10 full, 10 partials, 10 full, 10 partials, 10 full, 10 partials, 10 full, 10 partials, 10 full, 10 partials",10,10,,,,,10,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Thursday - Legs,Thursday,,,Lying leg curls,"Activation and Supramax pump, Set 1-2: 8 reps. Set 3: 8 reps, drop, 8 reps, drop, 8 reps, 30s isohold.",3,Drop Set,"8, 8, 8",8,8,,,,,10,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Thursday - Legs,Thursday,,,Dumbbell Romanian deadlifts,"Activation and Supramax pump, Medium weight, 60-second breaks, leave reps in the tank.",6,,"10, 10, 10, 10, 10, 10",10,10,,,,,8,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Thursday - Legs,Thursday,,,Leg press,"Supramax pump, High and wide foot placement, leave reps in the tank.",5,,"10, 10, 10, 10, 10",10,10,,,,,8,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Thursday - Calves,Thursday,,,Seated toe raises,"Stretch and pump, Focus on the stretch.",4,,"to failure (12 reps), to failure (12 reps), to failure (12 reps), to failure (12 reps)",,,,,,,10,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Thursday - Abs,Thursday,,,Leg raise,"Activation and pump, Simple leg raises, to failure.",4,,"to failure, to failure, to failure, to failure",,,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Friday - Back,Friday,,,Hammer strength pulldowns,"Activation and start pump, Focus on controlled negative.",4,,"8, 8, 8, 8",8,8,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Friday - Back,Friday,,,Smith rows,"Train explosively, Set weight down on stops, explosive drive up, rest pause reps.",4,,"10, 10, 10, 10",10,10,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Friday - Back,Friday,,,Seated cable row,"Supramax pump, Pronated grip with individual handles, squeeze reps hard.",4,,"10, 10, 10, 10",10,10,,,,,9,,,https://www.youtube.com/watch?v=FSoUijeznsM&index=85&list=PLA808445EA052D63A,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Friday - Back,Friday,,,Dumbbell shrugs,"Supramax pump, Hold contracted position for 3 seconds on each rep.",3,,"10, 10, 10",10,10,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Friday - Back,Friday,,,Banded hyperextensions,"Supramax pump, Use a band, do these very slow, hold flex at top for 1 second.",3,,"10, 10, 10",10,10,,,,,8,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Friday - Biceps,Friday,,,Preacher curls,"Supramax pump, Slow and controlled, contract at the top for 2 seconds.",3,,"10, 10, 10",10,10,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Friday - Biceps,Friday,,,Incline dumbbell curls,"Train the muscle from a stretched position, Lean back on an incline, keep grip supinated.",3,,"10, 10, 10",10,10,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Friday - Abs,Friday,,,Incline sit ups,"Curl up slowly, blow air out, force contraction.",4,,"to failure, to failure, to failure, to failure",,,,,,,10,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Saturday - Legs,Saturday,,,Single leg hip thrust,"Activation and start pump, 3s down, 2s hold in stretch, explosive up, 2s contracted hold. Alternate legs.",4,,"12, 12, 12, 12",12,12,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Saturday - Legs,Saturday,,,Smith Machine Seated Deadlifts,"Supramax pump, Pull to knees, pause, then drive with glutes. Keep knees wide.",4,,"12, 12, 12, 12",12,12,,,,,8,,,https://www.youtube.com/watch?v=DnEsI7uf4f0,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Saturday - Legs,Saturday,,,Seated Good Morning,"Supramax pump, Sit on surface above parallel, rotate pelvis, keep arch in back.",3,,"8, 8, 8",8,8,,,,,8,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Saturday - Calves,Saturday,,,Standing calve raises (superset),"Supramax pump, Supersetted with Seated calve raises for 8 total work sets.",4,Superset,"10, 10, 10, 10",10,10,,,,,8,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Saturday - Calves,Saturday,,,Seated calve raises (superset),"Supramax pump, Supersetted with Standing calve raises for 8 total work sets.",4,Superset,"10, 10, 10, 10",10,10,,,,,8,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Monday - Legs/Glutes,Monday,,,Hip Thrust,"Activation and start pump, Same as Week 1 but with 10 reps.",3,,"10, 10, 10",10,10,,,,,8,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Monday - Legs/Glutes,Monday,,,"Single Leg, Alternating, Lying leg curl","Supramax pump, Drop set of 10, 10, 10 reps. Stretch for 30 seconds after.",1,Drop Set,"10, 10, 10",10,10,,,,,11,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Monday - Legs/Glutes,Monday,,,Box Squats,"Train explosively, Squat onto a box 1-2 inches above parallel.",3,,"8, 8, 8",8,8,,,,,8,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Monday - Legs/Glutes,Monday,,,Leg extensions - drop set of death,"Supramax pump, Sets 1-3: 8 reps. Set 4: 8 reps, 5s isohold, drop weight, repeat. Stretch after.",4,Drop Set,"8, 8, 8, 8",8,8,,,,,8,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Monday - Abs,Monday,,,Decline leg raises,"Activation and pump, Come close to failure, leave a few reps in the tank.",4,,"10-20, 10-20, 10-20, 10-20",10,20,,,,,8,,,https://www.youtube.com/watch?v=JwQGUD1wxDg&list=PL512BBB0C927A91DC&index=10,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Monday - Calves,Monday,,,Standing raises,"Supramax pump, Same rep scheme as Week 1, but 2 total work sets.",2,,"10 full, 10 half, 10 sec stretch, 10 full, 10 half, 10 sec stretch",,,,,,,11,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Tuesday - Chest,Tuesday,,,Hammer press (with bands),"Activation and start pump, Drive and squeeze hard on every rep.",4,,"6, 6, 6, 6",6,6,,,,,9,,,https://www.youtube.com/watch?v=2qe6zhjNVK4&index=16&list=PL2F8A4BD406176C34,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Tuesday - Chest,Tuesday,,,Incline barbell press,"Train explosively, Same as last week.",3,,"6, 6, 6",6,6,,,,,8,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Tuesday - Chest,Tuesday,,,Machine/assisted dips (superset),"Train muscle with stretch emphasis, Supersetted with Machine/dumbbell flyes. 8 total sets.",4,Superset,"8, 8, 8, 8",8,8,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Tuesday - Chest,Tuesday,,,Incline flyes (superset),"Train muscle with stretch emphasis, Supersetted with Machine/assisted dips. 8 total sets.",4,Superset,"8-10, 8-10, 8-10, 8-10",8,10,,,,,9,,,https://www.youtube.com/watch?v=bscXcMgQLWo&list=PL2955620A11D03694&index=49,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Tuesday - Triceps,Tuesday,,,Pushdowns,"Supramax pump, Go to failure.",4,,"20, 20, 20, 20",20,20,,,,,10,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Tuesday - Triceps,Tuesday,,,Incline lying extensions,"Train muscle with stretch emphasis, Good old-fashioned skull crushers, stretch for 30s after each set.",4,,"10, 10, 10, 10",10,10,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Tuesday - Abs,Tuesday,,,Rope crunch,"Stretch and pump, Stretch abdominal wall at the top of each rep.",4,,"to failure, to failure, to failure, to failure",,,,,,,9,,,https://www.youtube.com/watch?v=ZHSef-SDrH4&index=3&list=PL512BBB0C927A91DC,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Tuesday - Calves,Tuesday,,,Seated calve raises,"Supramax pump, Sit in the stretch position for 1 second, try to use more weight than last week.",4,,"15, 15, 15, 15",15,15,,,,,10,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Wednesday - Shoulders,Wednesday,,,Reverse peck deck,"Activation and pump, Go heavier this week, sets of 30, 20, 10, and 10.",4,Pyramid,"30, 20, 10, 10",10,30,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Wednesday - Shoulders,Wednesday,,,Standing side laterals,"Supramax pump, Go heavier, use a little momentum if needed.",4,,"10, 10, 10, 10",10,10,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Wednesday - Shoulders,Wednesday,,,Barbell front raises,"Supramax pump, Raise to eye level.",4,,"12, 12, 12, 12",12,12,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Wednesday - Abs,Wednesday,,,Decline leg raises,"Activation and pump, Come close to failure, leave a few reps in the tank.",6,,"10-20, 10-20, 10-20, 10-20, 10-20, 10-20",10,20,,,,,8,,,https://www.youtube.com/watch?v=JwQGUD1wxDg&list=PL512BBB0C927A91DC&index=10,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Wednesday - Calves,Wednesday,,,Standing raises,"Supramax pump, Go heavy, pause and stretch for 1 second at the bottom of each rep.",6,,"8, 8, 8, 8, 8, 8",8,8,,,,,10,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Thursday - Legs,Thursday,,,Standing leg curls,"Activation and Supramax pump, Sets 1-2: 10 reps. Set 3: 10 reps, isohold, drop, 10 reps, isohold, drop, 10 reps.",3,Drop Set,"10, 10, 10",10,10,,,,,10,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Thursday - Legs,Thursday,,,Abductor machine,"Activation and Supramax pump, Lean forward, push with feet not knees, hold contraction for 1-2 counts.",3,,"12, 12, 12",12,12,,,,,8,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Thursday - Legs,Thursday,,,Hack Squats,"Supramax pump, Light weight, don't bury reps, maintain low back arch.",4,,"20, 20, 20, 20",20,20,,,,,7,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Thursday - Calves,Thursday,,,Seated toe raises,"Stretch and pump, Focus on the stretch.",4,,"to failure (25 reps), to failure (25 reps), to failure (25 reps), to failure (25 reps)",,,,,,,10,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Thursday - Abs,Thursday,,,Leg raise,"Activation and pump, Simple leg raises, to failure.",4,,"to failure, to failure, to failure, to failure",,,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 2,Training for Week 2,2,Friday - Back,Friday,,,One arm supinated pulldowns,"Activation and start pump, Use a band for isohold variation.",4,,"8, 8, 8, 8",8,8,,,,,9,,,,
