Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Superset,Exercise Name,Exercise Notes,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Wednesday - Abs,Wednesday,,Superset,Ab combination #3,A rope crunch and a pulldown crunch combo. 4 rounds.,8,,N/A,,,,,,,9-10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Wednesday - Calves,Wednesday,,,Seated raises,"Supramax pump, Pause and squeeze at the top for 8 seconds, long painful sets.",4,,15,,,,,,,10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Thursday - Legs,Thursday,,,Single Leg Hip Thrust,"Activation and start pump, Work up to a tough 12 reps.",3,,12,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Thursday - Legs,Thursday,,,Hack Squat,"Supramax pump, Come down as low as you can while maintaining a low back arch.",3,,15,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Thursday - Legs,Thursday,,,Goblet Squats,"Train the pumped muscle through a full range of motion, Come down until just before you lose that low back arch.",3,,15,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Thursday - Shoulders,Thursday,,,Banded face pulls,"Supramax pump, Use the long orange micro mini band.",3,,30,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Thursday - Shoulders,Thursday,,,Dumbbell side laterals,"Supramax pump, Leave reps in the tank.",3,,8,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Thursday - Shoulders,Thursday,,,Barbell front raises,"Supramax pump, Nothing to failure.",4,,8,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Thursday - Calves,Thursday,,,Seated calf raises,"Stretch and pump, 1 set of 100 reps, stop as needed, but no more than 10s rest.",1,,100,,,,,,,12,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Thursday - Abs,Thursday,,,Hanging leg leg raise,Activation and pump.,3,,to failure,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Friday - Chest,Friday,,,Incline dumbbell press,"Activation and start pump, Do sets of 8, then a drop set with 2 drops.",4,,"8 reps, then drop set",,,,,,,8-11,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Friday - Chest,Friday,,,Incline bench press,"Train explosively, 5 sets of 4 reps. Last rep should be hard but doable.",5,,4,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Friday - Chest,Friday,,,Flat dumbbell press,"Supramax pump, Take to 3/4 lockout. Leave a few reps in the tank.",4,,10,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Friday - Chest,Friday,,,Incline pronated flyes,"Train muscle with stretch emphasis, Stretch everything good and flush muscle with blood.",3,,15,,,,,,,9-10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Friday - Chest,Friday,,,Stretch push ups,"Supramax pump, Add a chain or some extra weight, 8 reps.",3,,to failure,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Friday - Abs,Friday,,Superset,Ab combination #4,"A leg raise, rope crunch, and incline sit-up combo. 3 rounds.",9,,N/A,,,,,,,10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Saturday - Legs,Saturday,,,Cable Belt Squat March,"Activation and start pump, Increase the weight this week.",3,,2 minutes,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Saturday - Legs,Saturday,,,Hip Thrust,"Supramax pump, 10 reps, then 10 lengthened partials.",3,,10,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Saturday - Legs,Saturday,,,Band Good Mornings,"Supramax pump, Use a band, or light barbell. Do 3 sets to failure., https://www.youtube.com/watch?v=5eh9EAfLPPI",3,,to failure,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Saturday - Shoulders,Saturday,,,Machine rear laterals,"Supramax pump, Hold the contracted position for 1 second.",3,,15,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Saturday - Shoulders,Saturday,,,Dumbbell side laterals,"Supramax pump, Do 10 over and backs with a rope/band between sets here!",3,,12,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Saturday - Shoulders,Saturday,,,Dumbbell press,"Supramax pump, Nice and slow, full lockout and flexing.",3,,15,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Saturday - Calves,Saturday,,,Calf program #1,"Supramax pump, https://www.youtube.com/watch?v=Qhdlw51Xjsc&index=68&list=PLD5A37C01FC6D4C0D",4,,"10 full, 10 lengthened partials, 10 sec stretch",,,,,,,10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Monday - Legs/Glutes,Monday,,,Hip Thrust,"Activation and start pump, Work up to your 8-rep weight. Get 50 total reps.",3,,50 total reps,,,,,,,9-10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Monday - Legs/Glutes,Monday,,,Squats,"Supramax pump, Work up to a weight where you cannot get 10 reps with good form.",4,,10,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Monday - Legs/Glutes,Monday,,,Smith Machine Seated Deadlifts,"Supramax pump, Pull to knees, pause, then drive with glutes. Keep knees wide., https://www.youtube.com/watch?v=DnEsI7uf4f0",4,,12,,,,,,,8-9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Monday - Shoulders,Monday,,,Dumbbell side laterals,"Activation and pump, Simple sets.",4,,10,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Monday - Shoulders,Monday,,,Spidercrawls,"Activation and pump, Up above head, down to waistline, 3 times for 1 set.",3,,3 times up/down,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Monday - Shoulders,Monday,,,Hang and swing destroyer set,"Supramax pump, Heavy swings (60 reps), drop weight (30 reps), drop again (10 full reps).",2,,"60 reps, then drop set",,,,,,,9-12,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Monday - Abs,Monday,,Superset,Ab combination #2,A hanging leg raise and a rope crunch combo. 4 rounds.,8,,N/A,,,,,,,9-10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Monday - Calves,Monday,,,Calve program #4,"Supramax pump, 10 reps, 10s top hold, repeat 2 more times.",4,,"10 full, 10 lengthened partials, 10 sec stretch",,,,,,,10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Tuesday - Back,Tuesday,,,Dumbbell rows,"Activation and start pump, Work up to a hard 10, then do a drop set (10, 10, 10).",3,,10,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Tuesday - Back,Tuesday,,,Front pulldowns,"Supramax pump, Basic pulldowns with pronated grip.",3,,10,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Tuesday - Back,Tuesday,,,Dumbbell pullovers,"Train muscle with a stretch emphasis, Stretch lats.",3,,10,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Tuesday - Back,Tuesday,,,Supinated cable low rows,"Supramax pump, Hold every rep for a 2-second count.",3,,12,,,,,,,9-10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Tuesday - Back,Tuesday,,,Hyperextensions,"Supramax pump, Use a band with very hard tension.",3,,8,,,,,,,10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Tuesday - Abs,Tuesday,,Superset,Ab combination #1,A hanging leg raise and incline sit up combo. 4 rounds.,8,,N/A,,,,,,,8-9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Tuesday - Calves,Tuesday,,,Calf program #1,"Supramax pump, https://www.youtube.com/watch?v=Qhdlw51Xjsc&index=68&list=PLD5A37C01FC6D4C0D",4,,"10 full, 10 lengthened partials, 10 sec stretch",,,,,,,10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Wednesday - Triceps,Wednesday,,,Rope pushdowns,"Supramax pump, Take to lockout and flex.",4,,12,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Wednesday - Triceps,Wednesday,,,Dip machine,"Supramax pump, Use a dip machine or bench dips.",4,,15,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Wednesday - Triceps,Wednesday,,,Bent over extensions,"Supramax pump, Work the stretch.",4,,10,,,,,,,9-10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Wednesday - Biceps,Wednesday,,,Seated dumbbell curl,"Supramax pump, Supinate wrists as you lift the weight.",3,,10,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Wednesday - Biceps,Wednesday,,,Incline dumbbell curl,"Train muscle with a stretch emphasis, Sit down and lean back on an incline.",3,,10,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Wednesday - Biceps,Wednesday,,,EZ bar preacher curls,"Supramax pump, Simple sets.",3,,8,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Wednesday - Abs,Wednesday,,Superset,Ab combination #3,A rope crunch and a pulldown crunch combo. 4 rounds.,8,,N/A,,,,,,,9-10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Wednesday - Calves,Wednesday,,,Seated raises,"Supramax pump, Pause and squeeze at the top for 8 seconds, long painful sets.",4,,15,,,,,,,10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Thursday - Legs,Thursday,,,Single Leg Hip Thrust,"Activation and start pump, Work up to a tough 15 reps.",3,,15,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Thursday - Legs,Thursday,,,Wide Stance Squat,"Supramax pump, Come down as low as you can while maintaining a low back arch, 2s pause.",3,,15,,,,,,,8,,,
