Program Name,Program Author,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Superset,Exercise Name,Exercise Description,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #2,2,,,Lateral Band Walk,Externally rotate your hips,3,,20,20,,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #2,2,,,Machine Seated Hip Abduction,Externally rotate your hips,3,,15,15,,,,,,7,3,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #1,3,,,Dumbbell Standing Shoulder Press,Use a full ROM,4,,8,8,10,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #1,3,,,Narrow Neutral-Grip Pulldown,Pull with your elbows against your sides,4,,10,10,12,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #1,3,,,Close-Grip Push-Up,Tuck your elbows,3,,8,8,10,,,,,7,3,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #1,3,,,Cable Seated Row,Pull with your elbows out,3,,10,10,12,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #1,3,,A1,Dumbbell Lateral Raise,Focus on squeezing your delts,3,Superset,15,15,,,,,,9,1,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #1,3,,A2,Dumbbell Rear Delt Raise ,Keep your scapulae protracted (rest 2min after superset),3,Superset,15,15,,,,,,9,1,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #1,3,,,Seated Face Pull,Pull your elbows up and out,3,,15,15,20,,,,,9,1,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #1,2,,B1,Single-Arm Cable Curl,Focus on squeezing your biceps,2,Superset,10,10,,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #1,2,,B2,Overhead Cable Tricep Extension,Focus on squeezing your triceps (rest 2min after superset),2,Superset,12,12,,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #3,4,,,Deficit Bodyweight Bulgarian Split Squat,Focus on stretching your glutes,3,,10,10,12,,,,,7,3,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #3,4,,,Smith Machine Hip Thrust,Chin and ribs tucked,3,,15,15,20,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #3,4,,,Bodyweight Reverse Hyperextension,Squeeze your glutes to raise your legs,3,,15,15,20,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #3,4,,,45° Hyperextension,"Rounded upper back, extend your hips",3,,12,12,15,,,,,7,3,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #3,4,,,Band Seated Hip Abduction,Externally rotate your hips,3,,25,25,30,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #3,4,,,Hollow Body Hold (Core),Flex your spine,3,,15SEC,15,,,,,,7,3,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #4,5,,,Stiff Leg Deadlift,"Brace your lats, high hips",3,,6,6,8,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #4,5,,,Bodyweight Walking Lunge,"Reps each leg, stretch your glutes",2,,12,12,15,,,,,7,3,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #4,5,,,Knee-Banded Bodyweight Hip Thrust,Chin and ribs tucked,4,,15,15,20,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #4,5,,,Swiss Ball Leg Curl,Focus on squeezing your hamstrings,3,,8,8,12,,,,,7,3,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #4,5,,,Cable Hip Abduction,Externally rotate your hips,3,,10,10,15,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #4,5,,,Machine Standing Calf Raise,Press all the way up to your toes,3,,8,8,12,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #2,6,,,Dumbbell Incline Press,Shoulder blades back and down,3,,8,8,10,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #2,6,,,Supinated Pulldown,Pull with your elbows against your sides,3,,10,10,12,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #2,6,,,Machine Shoulder Press,Use a full ROM,3,,8,8,10,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #2,6,,,Chest-Supported T-Bar Row,Focus on retracting/protracting your scapulae,3,,12,12,15,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #2,6,,A1,Resistance Band Lateral Raise,"7 bottom 1/2 reps, 7 top 1/2 reps, 7 full reps",3,Superset,7,7,7,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #2,6,,A2,Seated Cable Facepull ,"7 bottom 1/2 reps, 7 top 1/2 reps, 7 full reps (rest 2min after superset)",3,Superset,7,7,7,,,,,9,1,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #2,6,,B1,Single-Arm Cable Curl,Focus on squeezing your biceps,3,Superset,10,10,,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,UPPER #2,6,,B2,Cable Rope Tricep Extension,Focus on squeezing your triceps (rest 2min after superset),3,Superset,12,12,,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,LOWER #1,1,,,Back Squat,,3,,5,5,,,,,,,,72.5%,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,LOWER #1,1,,,Barbell Hip Thrust,Chin and ribs tucked,3,,12,12,15,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,LOWER #1,1,,,Barbell Romanian Deadlift,Keep your spine neutral,2,,10,10,12,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,LOWER #1,1,,,Cable Standing Glute Kickback,Focus on squeezing your glutes,2,,12,12,15,,,,,7,3,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,LOWER #1,1,,,Seated Hip Abduction Machine,Focus on squeezing your glutes,2,,20,20,25,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,LOWER #1,1,,,Bicycle Crunch,Don't yank your neck,3,,15,15,20,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,LOWER #2,2,,,Deadlift,,4,,4,4,,,,,,,,77.5%,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,LOWER #2,2,,,Front Squat,Sit straight down,3,,10,10,12,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,LOWER #2,2,,,Knee-Banded Bodyweight Hip Thrust,Drive your knees out,2,,25,25,30,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,LOWER #2,2,,,Seated Leg Curl,Focus on squeezing your hamstrings,3,,10,10,12,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,LOWER #2,2,,,Lateral Band Walk,Externally rotate your hips,3,,20,20,,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,LOWER #2,2,,,Machine Seated Hip Abduction,Externally rotate your hips,3,,15,15,,,,,,7,3,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,UPPER #1,3,,,Dumbbell Standing Shoulder Press,Use a full ROM,4,,8,8,10,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,UPPER #1,3,,,Narrow Neutral-Grip Pulldown,Pull with your elbows against your sides,4,,10,10,12,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,UPPER #1,3,,,Close-Grip Push-Up,Tuck your elbows,3,,8,8,10,,,,,7,3,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,UPPER #1,3,,,Cable Seated Row,Pull with your elbows out,3,,10,10,12,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,UPPER #1,3,,A1,Dumbbell Lateral Raise,Focus on squeezing your delts,3,Superset,15,15,,,,,,9,1,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,UPPER #1,3,,A2,Dumbbell Rear Delt Raise ,Keep your scapulae protracted (rest 2min after superset),3,Superset,15,15,,,,,,9,1,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,UPPER #1,3,,,Seated Face Pull,Pull your elbows up and out,3,,15,15,20,,,,,9,1,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 2,,,UPPER #1,2,,B1,Single-Arm Cable Curl,Focus on squeezing your biceps,2,Superset,10,10,,,,,,8,2,,
