Program Name,Program Arthur,Program Description,Program Short Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Superset,Exercise Name,Exercise Description,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 1,The first block is focused on getting adapted to the program's high volume and frequency.,1,Upper Body + Glute (Metabolic),4,,,1-Arm Dumbbell Row,"Pull dumbbell ""to back pocket stretch on lats at the bottom",3,1,10,10,12,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 1,The first block is focused on getting adapted to the program's high volume and frequency.,1,Upper Body + Glute (Metabolic),4,,,Incline Dumbbell Chest Press,"45 incline, mind muscle connection with upper pecs",3,1,10,10,12,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 1,The first block is focused on getting adapted to the program's high volume and frequency.,1,Upper Body + Glute (Metabolic),4,,,Dumbbell Raise Complex,"15 side raises, 15 front raises, 15 rear delt flyes, no rest = 1 set",2,1,15,15,15,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 1,The first block is focused on getting adapted to the program's high volume and frequency.,1,Upper Body + Glute (Metabolic),4,,,Banded Lateral Raise,"Stand in the middle of a band and perform lateral raises, faster tempo, constant tension on delts",2,1,30,30,30,,,,,10,0,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 1,The first block is focused on getting adapted to the program's high volume and frequency.,1,Upper Body + Glute (Metabolic),4,,,Banded Squat Bouncer,"2/3 bottom range of motion, band around knees, constant tension on glutes",3,1,20,20,25,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 1,The first block is focused on getting adapted to the program's high volume and frequency.,1,Upper Body + Glute (Metabolic),4,,,Banded Abduction (Seated),"Band around knees, focus on driving knees out, feel glute medius to ensure activation",2,1,20,20,25,,,,,9,1,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 1,The first block is focused on getting adapted to the program's high volume and frequency.,1,Lower Body (Hypertrophy),5,,,Walking Lunge,"20 total strides, use dumbbells or a barbell (less trap involvement with barbell)",3,1,20,20,20,,,,,7,3,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 1,The first block is focused on getting adapted to the program's high volume and frequency.,1,Lower Body (Hypertrophy),5,,,Cable Glute Kick Back,"Slight lean forward, push back then up in a slight arc, hold onto upright for support",3,1,15,15,20,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 1,The first block is focused on getting adapted to the program's high volume and frequency.,1,Lower Body (Hypertrophy),5,,,Lower Back Extension,"Slightly round lower back, 15 foot flare, squeeze glutes at the top of each rep",3,1,15,15,20,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 1,The first block is focused on getting adapted to the program's high volume and frequency.,1,Lower Body (Hypertrophy),5,,,Banded Side Walk,"20 reps each direction, miniband around feet or full band around knees, slight bend at hips, short 6 inch steps",2,1,40,40,40,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 1,The first block is focused on getting adapted to the program's high volume and frequency.,1,Lower Body (Hypertrophy),5,,,Frog Pump,"Hard glute squeeze at the top of each rep, faster tempo, challenge yourself for more reps each week!",2,1,30,30,50,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 2,The first block is focused on getting adapted to the program's high volume and frequency.,2,Lower Body (Strength),1,,,Back Squat,"Drive through heels, keep knees out in direction of toes, wider stance, 15' foot flare",3,1,6,6,6,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 2,The first block is focused on getting adapted to the program's high volume and frequency.,2,Lower Body (Strength),1,,,Romanian Deadlift,"Set hips back until stretch is felt in hamstrings, thrust hips forward and squeeze glutes hard at the top",3,1,6,6,8,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 2,The first block is focused on getting adapted to the program's high volume and frequency.,2,Lower Body (Strength),1,,A1,Seated Leg Curl,"Full ROM, should feel stretch in hamstrings on eccentric",3,1,12,12,15,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 2,The first block is focused on getting adapted to the program's high volume and frequency.,2,Lower Body (Strength),1,,A2,Swiss Ball Leg Curl,"Keep glutes elevated, thighs in a ""straight line"" with upper body, curl ball in toward your glutes",3,1,12,12,15,,,,,9,1,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 2,The first block is focused on getting adapted to the program's high volume and frequency.,2,Lower Body (Strength),1,,,Machine Hip Abduction (Glutes Elevated),"Keep glutes 2 6 inches elevated off the seat, use a fast tempo and keep constant tention no rest between reps!",3,1,25,25,30,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 2,The first block is focused on getting adapted to the program's high volume and frequency.,2,Lower Body (Strength),1,,,Leg Raise Variation (Abs),"Can perform hanging, using ROMan chair or lying challenge yourselfi",3,1,10,10,12,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 2,The first block is focused on getting adapted to the program's high volume and frequency.,2,Lower Body (Strength),1,,,Crunch Variation (Abs),"Can perform using a cable, weighted or machine challenge yourself!",2,1,12,12,15,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 2,The first block is focused on getting adapted to the program's high volume and frequency.,2,Upper Body (Hypertrophy),2,,,Standing Dumbbell Press,"Keep shoulder blades retracted, stop range of motion once elbows reach 90",3,1,10,10,12,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 2,The first block is focused on getting adapted to the program's high volume and frequency.,2,Upper Body (Hypertrophy),2,,,Close Grip Lat Pulldown,"Pull through elbows, think of arms as ""connectors"", touch bar to chest",3,1,10,10,12,,,,,8,2,,,
Jeff Nippard Glute Hypertrophy Program,Jeff Nippard,An 8-week program split into two blocks: Accumulation and Metabolic. It focuses on glute hypertrophy through a combination of heavy compound lifts and high-rep isolation exercises.,,8 weeks,Advanced,"Dumbbells, Barbell, Resistance Bands, Swiss Ball, Cable Machine, Leg Press Machine, Pec Deck",5,Block 1 - Accumulation,"Focuses on loading and volume accumulation, with a general trend toward more volume, load, and intensity.",1,Week 2,The first block is focused on getting adapted to the program's high volume and frequency.,2,Upper Body (Hypertrophy),2,,,Close Grip Seated Cable Row,"Drive elbows down for lat focus over trap focus, pull to stomach",3,1,12,12,15,,,,,8,2,,,
