"Program","Workout","Weeks","Exercise","Sets","Reps","Notes"
"Gluteal Goddess Advanced","C","1-4","Single-arm dumbbell bench press","3","8 reps","Paired with B1"
"Gluteal Goddess Advanced","C","1-4","Cable straight-leg pull-through","3","8-12 reps",""
"Gluteal Goddess Advanced","C","1-4","Side lying hip raise","1","10 reps (each)",""
"Gluteal Goddess Advanced","C","1-4","Turkish get up","1","5 reps (each)",""
"Gluteal Goddess Advanced","C","1-4","Half-kneeling cable anti-rotation press","1","8-12 reps (each)",""
"Gluteal Goddess Advanced","A","5-8","Barbell hip thrust","3","3-8 reps","Paired with A2"
"Gluteal Goddess Advanced","A","5-8","Seated row","3","8 reps","Paired with A1"
"Gluteal Goddess Advanced","A","5-8","Barbell full squat","3","5 reps","Paired with B2"
"Gluteal Goddess Advanced","A","5-8","Barbell bench press","3","3-8 reps","Paired with B1"
"Gluteal Goddess Advanced","A","5-8","Barbell good morning","3","8-12 reps",""
"Gluteal Goddess Advanced","A","5-8","Band standing abduction","1","10-30 reps (each)",""
"Gluteal Goddess Advanced","A","5-8","Ab wheel rollout from knees","1","8-20 reps",""
"Gluteal Goddess Advanced","A","5-8","Dumbbell side bend","1","10-20 reps",""
"Gluteal Goddess Advanced","B","5-8","Bodyweight single-leg hip thrust (shoulder and foot elevated)","3","8-20 reps (each)","Paired with A2"
"Gluteal Goddess Advanced","B","5-8","Bodyweight neutral grip pull-up","3","3-8 reps","Paired with A1"
"Gluteal Goddess Advanced","B","5-8","Dumbbell walking lunge","3","10 steps (20 total steps)","Paired with B2"
"Gluteal Goddess Advanced","B","5-8","Barbell push press","3","6 reps","Paired with B1"
"Gluteal Goddess Advanced","B","5-8","Dumbbell back extension","2","20 reps",""
"Gluteal Goddess Advanced","B","5-8","Banded seat abduction","1","10-30 reps",""
"Gluteal Goddess Advanced","B","5-8","Hanging leg raise","1","8-20 reps",""
"Gluteal Goddess Advanced","B","5-8","Landmine","1","8-12 reps",""
"Gluteal Goddess Advanced","C","5-8","Barbell hip thrust (isohold method)","3","30-60 sec","Paired with A2"
"Gluteal Goddess Advanced","C","5-8","D-handle lat pulldown","3","8 reps","Paired with A1"
"Gluteal Goddess Advanced","C","5-8","Skater squat","3","8 reps (each)","Paired with B2"
"Gluteal Goddess Advanced","C","5-8","Narrow base push-up","3","5-15 reps","Paired with B1"
"Gluteal Goddess Advanced","C","5-8","Barbell single-leg RDL","3","8-12 reps (each)",""
"Gluteal Goddess Advanced","C","5-8","Side lying hip raise","1","10-30 reps (each)",""
"Gluteal Goddess Advanced","C","5-8","Straight-leg sit-up","1","10-20 reps",""
"Gluteal Goddess Advanced","C","5-8","45-dgree side bend","1","10-20 reps (each)",""
"Gluteal Goddess Advanced","A","9-12","Barbell hip thrust (rest/pause method)","3","6 reps, 1 rep, 1 rep, 1 rep","Paired with A2"
"Gluteal Goddess Advanced","A","9-12","Bodyweight inverted row","3","6-12 reps","Paired with A1"
"Gluteal Goddess Advanced","A","9-12","Barbell Zercher squat","3","5-10 reps","Paired with B2"
"Gluteal Goddess Advanced","A","9-12","Feet elevated push-up","3","5-20 reps","Paired with B1"
"Gluteal Goddess Advanced","A","9-12","Barbell sumo deadlift","3","6-12 reps",""
"Gluteal Goddess Advanced","A","9-12","X-band walk (heavy tension)","1","20 reps (each)",""
"Gluteal Goddess Advanced","A","9-12","Dumbbell Swiss ball crunch","1","20 reps",""
"Gluteal Goddess Advanced","A","9-12","Band rotary hold","1","15 seconds (each)",""
"Gluteal Goddess Advanced","B","9-12","Barbell hip thrust (constant tension method)","3","20-30 reps (non-stop)","Paired with A2"
"Gluteal Goddess Advanced","B","9-12","Weighted parallel pull-up","3","1-3 reps","Paired with A1"
"Gluteal Goddess Advanced","B","9-12","Dumbbell Bulgarian split squat","3","10 reps (each)","Paired with B2"
"Gluteal Goddess Advanced","B","9-12","Barbell incline press","3","6-10 reps","Paired with B1"
"Gluteal Goddess Advanced","B","9-12","Gliding leg curls","2","6-15 reps",""
"Gluteal Goddess Advanced","B","9-12","Banded hip rotation","1","8-15 reps (each)",""
"Gluteal Goddess Advanced","B","9-12","Body saw","1","8-15 reps",""
"Gluteal Goddess Advanced","B","9-12","Half-kneeling cable anti-rotation press","1","8-12 reps (each)",""
"Gluteal Goddess Advanced","C","9-12","American hip thrust","3","5 heavy reps","Paired with A2"
"Gluteal Goddess Advanced","C","9-12","Dumbbell chest supported row","3","6-12 reps","Paired with A1"
"Gluteal Goddess Advanced","C","9-12","Dumbbell step up/reverse lunge combo","3","8-15 reps (each)","Paired with B2"
"Gluteal Goddess Advanced","C","9-12","Single-arm dumbbell military press","3","8-12 reps (each)","Paired with B1"
"Gluteal Goddess Advanced","C","9-12","Prisoner single-leg back extension","3","8-15 reps (each)",""
"Gluteal Goddess Advanced","C","9-12","Side lying hip raise","1","1-30 reps (each)",""
"Gluteal Goddess Advanced","C","9-12","Hanging leg raise","1","8-20 reps",""
"Gluteal Goddess Advanced","C","9-12","Landmine","1","8-12 reps (each)",""
"Best Butt Bodyweight/At Home","A","1-4","Bodyweight glute bridge","3","10-20 reps","Paired with A2"
"Best Butt Bodyweight/At Home","A","1-4","Bodyweight modified inverted row","3","8-12 reps","Paired with A1"
"Best Butt Bodyweight/At Home","A","1-4","Bodyweight box squat","3","10-20 reps","Paired with B2"
"Best Butt Bodyweight/At Home","A","1-4","Bodyweight torso-inclined push-up","3","8-12 reps","Paired with B1"
"Best Butt Bodyweight/At Home","A","1-4","Bodyweight hip hinge with dowel","3","10-20 reps",""
"Best Butt Bodyweight/At Home","A","1-4","Side lying abduction","1","10-30 reps (each)",""
"Best Butt Bodyweight/At Home","A","1-4","Front plank","1","30-120 seconds",""
"Best Butt Bodyweight/At Home","A","1-4","Side plank from knees","1","20-60 sec (each)",""
"Best Butt Bodyweight/At Home","B","1-4","Bodyweight foot elevated single-leg glute bridge","3","10-20 reps (each)","Paired with A2"
"Best Butt Bodyweight/At Home","B","1-4","Bodyweight chin-up (negative)","3","1-3 reps","Paired with A1"
"Best Butt Bodyweight/At Home","B","1-4","Bodyweight step up","3","10-20 reps (each)","Paired with B2"
"Best Butt Bodyweight/At Home","B","1-4","Bodyweight knee push-up","3","5-15 reps","Paired with B1"
"Best Butt Bodyweight/At Home","B","1-4","Bodyweight Swiss ball 45-degree back extension","3","10-20 reps",""
"Best Butt Bodyweight/At Home","B","1-4","Side lying clam","1","20-30 reps (each)",""
"Best Butt Bodyweight/At Home","B","1-4","Crunch","1","20-30 reps",""
"Best Butt Bodyweight/At Home","B","1-4","Side crunch","1","20-30 reps (each)",""
"Best Butt Bodyweight/At Home","C","1-4","Glute march (alternate legs in marching fashion)","3","30-60 sec","Paired with A2"
"Best Butt Bodyweight/At Home","C","1-4","Bodyweight inverted row","3","8-12 reps","Paired with A1"
"Best Butt Bodyweight/At Home","C","1-4","Bodyweight box squat","3","10-20 reps","Paired with B2"
"Best Butt Bodyweight/At Home","C","1-4","Bodyweight negative push-up","3","3-5 reps","Paired with B1"
"Best Butt Bodyweight/At Home","C","1-4","Bodyweight hip hinge with dowel","3","10-20 reps",""
"Best Butt Bodyweight/At Home","C","1-4","Side lying abduction","1","10-30 reps (each)",""
"Best Butt Bodyweight/At Home","C","1-4","Straight-leg sit-up","1","15-30 reps",""
"Best Butt Bodyweight/At Home","C","1-4","Swiss ball side crunch","1","15-30 reps (each)",""
"Best Butt Bodyweight/At Home","A","5-8","Bodyweight hip thrust","3","10-30 reps","Paired with A2"
"Best Butt Bodyweight/At Home","A","5-8","Bodyweight inverted row (less torso angle)","3","8-12 reps","Paired with A1"
"Best Butt Bodyweight/At Home","A","5-8","Bodyweight full squat","3","10-30 reps","Paired with B2"
"Best Butt Bodyweight/At Home","A","5-8","Bodyweight push-up","3","1 rep (strict singles)","Paired with B1"
"Best Butt Bodyweight/At Home","A","5-8","Bodyweight single-leg RDL","3","10-20 reps (each)",""
"Best Butt Bodyweight/At Home","A","5-8","Side lying abduction","1","20-30 reps (each)",""
"Best Butt Bodyweight/At Home","A","5-8","RKC plank","1","20-60 seconds",""
"Best Butt Bodyweight/At Home","A","5-8","Side plank","1","20-60 sec (each)",""
"Best Butt Bodyweight/At Home","B","5-8","Bodyweight single-leg glute bridge","3","10-20 reps (each)","Paired with A2"
"Best Butt Bodyweight/At Home","B","5-8","Bodyweight chin-up (single rep)","3","1 rep","Paired with A1"
"Best Butt Bodyweight/At Home","B","5-8","Bodyweight walk lunge","3","10-20 reps (each)","Paired with B2"
"Best Butt Bodyweight/At Home","B","5-8","Bodyweight knee push-up with elbows tucked","3","6-20 reps","Paired with B1"
"Best Butt Bodyweight/At Home","B","5-8","Bodyweight reverse hyper extension","3","10-30 reps",""
"Best Butt Bodyweight/At Home","B","5-8","Side lying clam","1","10-30 reps (each)",""
"Best Butt Bodyweight/At Home","B","5-8","Swiss ball crunch","1","15-30 reps",""
"Best Butt Bodyweight/At Home","B","5-8","Swiss ball side crunch","1","15-30 reps (each)",""
"Best Butt Bodyweight/At Home","C","5-8","Bodyweight hip thrust","3","10-30 reps","Paired with A2"
"Best Butt Bodyweight/At Home","C","5-8","Bodyweight inverted row (steep torso angle)","3","8-12 reps","Paired with A1"
"Best Butt Bodyweight/At Home","C","5-8","Bodyweight high step up","3","10-20 reps (each)","Paired with B2"
"Best Butt Bodyweight/At Home","C","5-8","Bodyweight torso elevated push-up","3","8-12 reps","Paired with B1"
"Best Butt Bodyweight/At Home","C","5-8","Bodyweight back extension","3","20-30 reps",""
"Best Butt Bodyweight/At Home","C","5-8","Side lying hip raise","1","10-20 reps (each)",""
"Best Butt Bodyweight/At Home","C","5-8","Feet elevated plank","1","60-120 sec",""
"Best Butt Bodyweight/At Home","C","5-8","Swiss ball side crunch","1","20 reps (each)",""
"Best Butt Bodyweight/At Home","A","9-12","Bodyweight shoulder elevated single-leg hip thrust","3","8-20 reps (each)","Paired with A2"
"Best Butt Bodyweight/At Home","A","9-12","Bodyweight chin-up","3","3-10 reps","Paired with A1"
"Best Butt Bodyweight/At Home","A","9-12","Bodyweight step up/ reverse lunge combo","3","10-15 reps (each)","Paired with B2"
"Best Butt Bodyweight/At Home","A","9-12","Bodyweight push-up","3","5-10 reps","Paired with B1"
"Best Butt Bodyweight/At Home","A","9-12","Bodyweight Swiss ball back extension","3","8-20 reps (each)",""
"Best Butt Bodyweight/At Home","A","9-12","Quadruped double transverse abduction","1","6 reps (each side, slow and controlled)",""
"Best Butt Bodyweight/At Home","A","9-12","Prisoner Swiss ball crunch","1","10-30 reps",""
"Best Butt Bodyweight/At Home","A","9-12","Side plank with abduction","1","20-60 sec (each)",""
"Best Butt Bodyweight/At Home","B","9-12","Bodyweight shoulder and foot elevated single-leg hip thrust","3","6-20 reps (each)","Paired with A2"
"Best Butt Bodyweight/At Home","B","9-12","Bodyweight feet elevated inverted row","3","6-12 reps","Paired with A1"
"Best Butt Bodyweight/At Home","B","9-12","Bodyweight Bulgarian split squat","3","5-30 reps (each)","Paired with B2"
"Best Butt Bodyweight/At Home","B","9-12","Bodyweight feet elevated pike push-up","3","6-20 reps","Paired with B1"
"Best Butt Bodyweight/At Home","B","9-12","Bodyweight sliding leg curls","2","10-20 reps",""
"Best Butt Bodyweight/At Home","B","9-12","Side double abduction","1","1-6 reps (each, slow and controlled)",""
"Best Butt Bodyweight/At Home","B","9-12","RKC plank","1","30-60 sec",""
"Best Butt Bodyweight/At Home","B","9-12","Feet elevated side plank with abduction","1","20-60 secs (each)",""
"Best Butt Bodyweight/At Home","C","9-12","Bodyweight shoulder elevated single-leg hip thrust (pause reps)","3","5-15 reps (each side)","3 second pause at top, paired with A2"
"Best Butt Bodyweight/At Home","C","9-12","Bodyweight pull-up","3","3-10 reps","Paired with A1"
"Best Butt Bodyweight/At Home","C","9-12","Bodyweight high step up","3","10-15 reps","Paired with B2"
"Best Butt Bodyweight/At Home","C","9-12","Bodyweight narrow base push-up","3","3-8 reps","Paired with B1"
"Best Butt Bodyweight/At Home","C","9-12","Russian leg curls","3","3-5 reps",""
"Best Butt Bodyweight/At Home","C","9-12","Side lying hip raise","1","10-20 reps (each side)",""
"Best Butt Bodyweight/At Home","C","9-12","Body saw","1","10-15 rep",""
"Best Butt Bodyweight/At Home","C","9-12","Feet elevated side plank with abduction","1","20-60 seconds (each side)",""
"Gorgeous Glutes (only)","A","1-4","Bodyweight hip thrust","3","20 reps",""
"Gorgeous Glutes (only)","A","1-4","Bodyweight full squat","3","20 reps",""
"Gorgeous Glutes (only)","A","1-4","Bodyweight back extension","3","20 reps",""
"Gorgeous Glutes (only)","A","1-4","Side lying clam","1","30 reps (each side)",""
"Gorgeous Glutes (only)","B","1-4","Bodyweight single-leg glute bridge","3","20 reps (each side)",""
"Gorgeous Glutes (only)","B","1-4","Bodyweight walking lunge","3","10-20 reps (each side)",""
"Gorgeous Glutes (only)","B","1-4","Bodyweight reverse hyper extension","3","20 reps",""
"Gorgeous Glutes (only)","B","1-4","Side lying abduction","1","30 reps (each side)",""
"Gorgeous Glutes (only)","C","1-4","Barbell glute bridge","3","10 reps",""
"Gorgeous Glutes (only)","C","1-4","Goblet full squat","3","10 reps",""
"Gorgeous Glutes (only)","C","1-4","Dumbbell Romanian deadlift","3","10 reps",""
"Gorgeous Glutes (only)","C","1-4","Cable hip rotation","1","10 reps (each side)",""
"Gorgeous Glutes (only)","A","5-8","Barbell hip thrust","3","8-12 reps",""
"Gorgeous Glutes (only)","A","5-8","Barbell front squat","3","8-12 reps",""
"Gorgeous Glutes (only)","A","5-8","Barbell Romanian deadlift","3","8-12 reps",""
"Gorgeous Glutes (only)","A","5-8","Band seated abduction","1","30 reps",""
"Gorgeous Glutes (only)","B","5-8","Bodyweight single-leg hip thrust","3","8-12 reps (each side)",""
"Gorgeous Glutes (only)","B","5-8","Bodyweight skater squat","3","8-12 reps (each side)",""
"Gorgeous Glutes (only)","B","5-8","Dumbbell single-leg Romanian deadlift","3","8-12 reps (each side)",""
"Gorgeous Glutes (only)","B","5-8","Cable standing abduction","1","30 reps (each side)",""
"Gorgeous Glutes (only)","C","5-8","Barbell glute bridge","3","10 reps",""
"Gorgeous Glutes (only)","C","5-8","Barbell Zercher squat","3","10 reps",""
"Gorgeous Glutes (only)","C","5-8","Dumbbell back extension","3","10 reps",""
"Gorgeous Glutes (only)","C","5-8","Side lying hip raise","1","12 reps",""
"Gorgeous Glutes (only)","A","9-12","Barbell American hip thrust (constant tension method)","3","20 reps",""
"Gorgeous Glutes (only)","A","9-12","Dumbbell deficit Bulgarian split squat","3","12 reps (each side)",""
"Gorgeous Glutes (only)","A","9-12","Barbell American deadlift","3","8 reps",""
"Gorgeous Glutes (only)","A","9-12","Half-kneeling anti-rotation press","1","15 reps (each side)",""
"Gorgeous Glutes (only)","B","9-12","Bodyweight shoulder and foot elevated single-leg hip thrust (pause rep method)","3","6 reps (each side)","3 second pause at top"
"Gorgeous Glutes (only)","B","9-12","Barbell high box squat","3","6 reps",""
"Gorgeous Glutes (only)","B","9-12","Single-leg 45-degree hyper extension","3","12 reps (each side)",""
"Gorgeous Glutes (only)","B","9-12","Cable hip rotation","1","15 reps (each side)",""
"Gorgeous Glutes (only)","C","9-12","Barbell hip thrust (rest pause method)","3","10 reps","6 reps, 1,1,1, and 1"
"Gorgeous Glutes (only)","C","9-12","Dumbbell high step up","3","8 reps (each side)",""
"Gorgeous Glutes (only)","C","9-12","Russian kettlebell swing","3","20 reps",""
"Gorgeous Glutes (only)","C","9-12","Side lying hip raise","1","15 reps (each side)",""
