Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Exercise Name,Exercise Description,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 2,,2,Workout A,1,,Bodyweight full squat,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 2,,2,Workout A,1,,Bodyweight back extension,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 2,,2,Workout A,1,,Side lying clam,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 2,,2,Workout B,2,,Bodyweight single-leg glute bridge,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 2,,2,Workout B,2,,Bodyweight walking lunge,,3,Normal,10,10,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 2,,2,Workout B,2,,Bodyweight reverse hyper extension,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 2,,2,Workout B,2,,Side lying abduction,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 2,,2,Workout C,3,,Barbell glute bridge,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 2,,2,Workout C,3,,Goblet full squat,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 2,,2,Workout C,3,,Dumbbell Romanian deadlift,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 2,,2,Workout C,3,,Cable hip rotation,,1,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 3,,3,Workout A,1,,Bodyweight hip thrust,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 3,,3,Workout A,1,,Bodyweight full squat,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 3,,3,Workout A,1,,Bodyweight back extension,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 3,,3,Workout A,1,,Side lying clam,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 3,,3,Workout B,2,,Bodyweight single-leg glute bridge,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 3,,3,Workout B,2,,Bodyweight walking lunge,,3,Normal,10,10,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 3,,3,Workout B,2,,Bodyweight reverse hyper extension,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 3,,3,Workout B,2,,Side lying abduction,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 3,,3,Workout C,3,,Barbell glute bridge,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 3,,3,Workout C,3,,Goblet full squat,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 3,,3,Workout C,3,,Dumbbell Romanian deadlift,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 3,,3,Workout C,3,,Cable hip rotation,,1,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 4,,4,Workout A,1,,Bodyweight hip thrust,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 4,,4,Workout A,1,,Bodyweight full squat,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 4,,4,Workout A,1,,Bodyweight back extension,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 4,,4,Workout A,1,,Side lying clam,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 4,,4,Workout B,2,,Bodyweight single-leg glute bridge,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 4,,4,Workout B,2,,Bodyweight walking lunge,,3,Normal,10,10,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 4,,4,Workout B,2,,Bodyweight reverse hyper extension,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 4,,4,Workout B,2,,Side lying abduction,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 4,,4,Workout C,3,,Barbell glute bridge,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 4,,4,Workout C,3,,Goblet full squat,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 4,,4,Workout C,3,,Dumbbell Romanian deadlift,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 4,,4,Workout C,3,,Cable hip rotation,,1,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 5,,5,Workout A,15,,Barbell hip thrust,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 5,,5,Workout A,15,,Barbell front squat,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 5,,5,Workout A,15,,Barbell Romanian deadlift,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 5,,5,Workout A,15,,Band seated abduction,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 5,,5,Workout B,Day B,,Bodyweight single-leg hip thrust,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 5,,5,Workout B,Day B,,Bodyweight skater squat,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 5,,5,Workout B,Day B,,Dumbbell single-leg Romanian deadlift,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 5,,5,Workout B,Day B,,Cable standing abduction,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 5,,5,Workout C,Day C,,Barbell glute bridge,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 5,,5,Workout C,Day C,,Barbell Zercher squat,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 5,,5,Workout C,Day C,,Dumbbell back extension,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 5,,5,Workout C,Day C,,Side lying hip raise,,1,Normal,12,12,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 6,,6,Workout A,15,,Barbell hip thrust,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 6,,6,Workout A,15,,Barbell front squat,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 6,,6,Workout A,15,,Barbell Romanian deadlift,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 6,,6,Workout A,15,,Band seated abduction,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 6,,6,Workout B,Day B,,Bodyweight single-leg hip thrust,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 6,,6,Workout B,Day B,,Bodyweight skater squat,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 6,,6,Workout B,Day B,,Dumbbell single-leg Romanian deadlift,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 6,,6,Workout B,Day B,,Cable standing abduction,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 6,,6,Workout C,Day C,,Barbell glute bridge,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 6,,6,Workout C,Day C,,Barbell Zercher squat,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 6,,6,Workout C,Day C,,Dumbbell back extension,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 6,,6,Workout C,Day C,,Side lying hip raise,,1,Normal,12,12,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 7,,7,Workout A,15,,Barbell hip thrust,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 7,,7,Workout A,15,,Barbell front squat,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 7,,7,Workout A,15,,Barbell Romanian deadlift,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 7,,7,Workout A,15,,Band seated abduction,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 7,,7,Workout B,Day B,,Bodyweight single-leg hip thrust,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 7,,7,Workout B,Day B,,Bodyweight skater squat,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 7,,7,Workout B,Day B,,Dumbbell single-leg Romanian deadlift,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 7,,7,Workout B,Day B,,Cable standing abduction,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 7,,7,Workout C,Day C,,Barbell glute bridge,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 7,,7,Workout C,Day C,,Barbell Zercher squat,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 7,,7,Workout C,Day C,,Dumbbell back extension,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 7,,7,Workout C,Day C,,Side lying hip raise,,1,Normal,12,12,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 8,,8,Workout A,15,,Barbell hip thrust,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 8,,8,Workout A,15,,Barbell front squat,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 8,,8,Workout A,15,,Barbell Romanian deadlift,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 8,,8,Workout A,15,,Band seated abduction,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 8,,8,Workout B,Day B,,Bodyweight single-leg hip thrust,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 8,,8,Workout B,Day B,,Bodyweight skater squat,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 8,,8,Workout B,Day B,,Dumbbell single-leg Romanian deadlift,,3,Normal,8,8,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 8,,8,Workout B,Day B,,Cable standing abduction,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 8,,8,Workout C,Day C,,Barbell glute bridge,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 8,,8,Workout C,Day C,,Barbell Zercher squat,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 8,,8,Workout C,Day C,,Dumbbell back extension,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 5-8,,2,Week 8,,8,Workout C,Day C,,Side lying hip raise,,1,Normal,12,12,12,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 9-12,,3,Week 9,,9,Workout A,27,,Barbell American hip thrust (constant tension method),constant tension method,3,Normal,20,20,20,,,,,,,,,
